Population,Incidence,Mortality
"Belgium","113.2","16.3",
"Luxembourg","109.3","15.8",
"The Netherlands","105.9","16.5",
"France","99.1","15.4",
"France, New Caledonia","98.0","18.3",
"Lebanon","97.6","25.3",
"Australia","94.5","12.3",
"United Kingdom","93.6","14.4",
"Italy","92.8","13.8",
"New Zealand","92.6","14.2",
"Ireland","90.3","17.6",
"Sweden","89.8","11.4",
"Finland","89.5","11.3",
"Denmark","88.8","14.7",
"Switzerland","88.1","12.3",
"Montenegro","87.8","22.6",
"Malta","87.6","12.7",
"Norway","87.5","11.0",
"Hungary","85.5","17.9",
"Germany","85.4","15.7",
"Iceland","85.2","17.2",
"United States of America","84.9","12.7",
"Canada","83.8","12.1",
"Cyprus","81.7","16.9",
"Samoa","80.1","24.3",
"Israel","78.5","16.6",
"France, Martinique","78.3","17.2",
"Puerto Rico","76.7","12.9",
"Spain","75.4","10.6",
"Serbia","75.3","21.9",
"Argentina","73.0","18.0",
"Barbados","72.8","33.1",
"Austria","71.1","14.3",
"Portugal","70.7","11.3",
"Czechia","70.7","11.4",
"Mauritius","69.6","21.8",
"Greece","69.3","13.5",
"France, Guadeloupe","68.9","14.9",
"Croatia","68.7","18.2",
"Slovenia","68.5","13.4",
"Trinidad and Tobago","68.1","25.1",
"Syrian Arab Republic","67.3","26.9",
"French Polynesia","65.9","20.9",
"Uruguay","65.2","20.7",
"Singapore","64.0","18.5",
"Fiji","63.4","36.9",
"Bahamas","63.0","27.9",
"Brazil","62.9","13.0",
"Latvia","62.8","17.7",
"The former Yugoslav Republic of Macedonia","61.5","17.2",
