Population,Incidence,Mortality
"Fiji","63.4","36.9",
"Barbados","72.8","33.1",
"Somalia","41.3","29.1",
"Bahamas","63.0","27.9",
"Syrian Arab Republic","67.3","26.9",
"Dominican Republic","57.0","26.1",
"Sierra Leone","43.6","25.4",
"Lebanon","97.6","25.3",
"Papua New Guinea","45.8","25.2",
"Trinidad and Tobago","68.1","25.1",
"Eritrea","41.3","24.8",
"Samoa","80.1","24.3",
"Central African Republic","34.0","23.9",
"Jamaica","56.8","23.2",
"Pakistan","43.9","23.2",
"Chad","36.9","23.0",
"Ethiopia","41.2","22.9",
"Montenegro","87.8","22.6",
"Serbia","75.3","21.9",
"Mauritius","69.6","21.8",
"Gaza Strip and West Bank","56.6","21.7",
"Sudan","39.2","21.4",
"Egypt","52.4","21.3",
"Equatorial Guinea","30.9","21.2",
"Cameroon","37.6","21.2",
"Djibouti","41.2","21.1",
"Benin","41.5","21.0",
"French Polynesia","65.9","20.9",
"Uruguay","65.2","20.7",
"Armenia","43.3","20.6",
"Saint Lucia","51.6","20.6",
"Republic of Moldova","48.2","19.7",
"South Sudan","33.4","19.7",
"Côte d'Ivoire","37.8","19.3",
"Nigeria","41.7","18.8",
"Zimbabwe","38.4","18.6",
"Singapore","64.0","18.5",
"Jordan","57.4","18.5",
"Malaysia","47.5","18.4",
"France, New Caledonia","98.0","18.3",
"Croatia","68.7","18.2",
"Afghanistan","30.0","18.2",
"Argentina","73.0","18.0",
"Hungary","85.5","17.9",
"Kenya","40.3","17.8",
"Latvia","62.8","17.7",
"Ghana","43.0","17.7",
"Morocco","51.0","17.6",
"Ireland","90.3","17.6",
"Mali","32.6","17.6",
