Cancer,Incidence,Mortality
"Breast","46.3","13.0",
"Lung","14.6","11.2",
"Colorectum","16.3","7.2",
"Cervix uteri","13.1","6.9",
"Stomach","7.0","5.2",
"Liver","4.9","4.6",
"Ovary","6.6","3.9",
"Pancreas","4.0","3.8",
"Oesophagus","3.5","3.0",
"Leukaemia","4.3","2.8",
"Brain, central nervous system","3.1","2.3",
"Non-Hodgkin lymphoma","4.7","2.0",
"Corpus uteri","8.4","1.8",
"Gallbladder","2.4","1.8",
"Lip, oral cavity","2.3","1.2",
"Kidney","3.1","1.1",
"Multiple myeloma","1.4","0.89",
"Bladder","2.4","0.87",
"Melanoma of skin","2.9","0.50",
"Thyroid","10.2","0.49",
"Nasopharynx","0.82","0.41",
"Vulva","0.88","0.27",
"Larynx","0.48","0.27",
"Hodgkin lymphoma","0.80","0.22",
"Oropharynx","0.40","0.19",
"Salivary glands","0.51","0.18",
"Kaposi sarcoma","0.33","0.16",
"Vagina","0.37","0.16",
"Mesothelioma","0.18","0.14",
"Hypopharynx","0.29","0.12",
