Population,Value
"Afghanistan","11.5",
"Albania","37.8",
"Algeria","17.4",
"Angola","41.0",
"Argentina","42.4",
"Armenia","58.5",
"Australia","233.8",
"Austria","61.6",
"Azerbaijan","25.5",
"Bahamas","85.8",
"Bahrain","16.3",
"Bangladesh","18.7",
"Barbados","129.3",
"Belarus","54.5",
"Belgium","65.5",
"Belize","55.9",
"Benin","55.7",
"Bhutan","24.2",
"Bolivia (Plurinational State of)","34.2",
"Bosnia Herzegovina","62.4",
"Botswana","17.5",
"Brazil","74.0",
"Brunei","43.4",
"Bulgaria","53.6",
"Burkina Faso","26.5",
"Burundi","35.5",
"Cabo Verde","51.4",
"Cambodia","34.6",
"Cameroon","41.6",
"Canada","62.3",
"Central African Republic","30.2",
"Chad","22.0",
"Chile","51.2",
"China","47.8",
"Colombia","49.8",
"Comoros","30.3",
"Congo, Democratic Republic of","35.1",
"Congo, Republic of","40.7",
"Costa Rica","57.7",
"Croatia","54.5",
"Cuba","48.6",
"Cyprus","73.9",
"Czech Republic","88.0",
"Côte d'Ivoire","43.7",
"Denmark","75.9",
"Djibouti","7.6",
"Dominican Republic","60.1",
"Ecuador","38.8",
"Egypt","49.0",
"El Salvador","43.0",
"Equatorial Guinea","35.9",
"Eritrea","7.7",
"Estonia","109.9",
"Ethiopia","7.8",
"Fiji","45.0",
"Finland","71.6",
"France","99.0",
"France, Guadeloupe","189.1",
"France, La Réunion","63.7",
"France, Martinique","158.4",
"France, New Caledonia","93.0",
"French Guyana","92.3",
"French Polynesia","73.7",
"Gabon","31.0",
"Gaza Strip and West Bank","26.7",
"Georgia","35.7",
"Germany","63.2",
"Ghana","32.3",
"Greece","67.8",
"Guam","53.7",
"Guatemala","39.9",
"Guinea","35.3",
"Guinea-Bissau","21.9",
"Guyana","39.3",
"Haiti","55.4",
"Honduras","24.9",
"Hungary","77.4",
"Iceland","58.3",
"India","13.9",
"Indonesia","19.4",
"Iran, Islamic Republic of","21.6",
"Iraq","17.4",
"Ireland","132.5",
"Israel","52.2",
"Italy","61.3",
"Jamaica","71.9",
"Japan","49.1",
"Jordan","32.0",
"Kazakhstan","43.8",
"Kenya","30.9",
"Korea, Democratic Republic of","48.1",
"Korea, Republic of","59.5",
"Kuwait","21.6",
"Kyrgyzstan","29.3",
"Lao People's Democratic Republic","33.4",
"Latvia","80.3",
"Lebanon","40.0",
"Lesotho","25.0",
"Liberia","39.1",
"Libya","26.4",
"Lithuania","70.2",
"Luxembourg","78.8",
"Madagascar","31.7",
"Malawi","36.0",
"Malaysia","22.5",
"Maldives","18.9",
"Mali","17.7",
"Malta","57.4",
"Mauritania","21.9",
"Mauritius","19.9",
"Mexico","41.6",
"Mongolia","117.0",
"Montenegro","62.9",
"Morocco","31.9",
"Mozambique","35.7",
"Myanmar","19.5",
"Namibia","37.3",
"Nepal","14.8",
"New Zealand","205.1",
"Nicaragua","45.4",
"Niger","11.5",
"Nigeria","32.8",
"Norway","106.5",
"Oman","12.7",
"Pakistan","16.3",
"Panama","60.7",
"Papua New Guinea","28.2",
"Paraguay","43.4",
"Peru","47.8",
"Philippines","33.1",
"Poland","52.7",
"Portugal","59.5",
"Puerto Rico","101.7",
"Qatar","15.5",
"Republic of Moldova","50.5",
"Romania","50.7",
"Russian Federation","48.2",
"Rwanda","29.1",
"Saint Lucia","71.4",
"Samoa","51.5",
"Sao Tome and Principe","34.0",
"Saudi Arabia","14.9",
"Senegal","32.2",
"Serbia","71.6",
"Sierra Leone","29.0",
"Singapore","64.1",
"Slovakia","60.7",
"Slovenia","79.3",
"Solomon Islands","24.5",
"Somalia","13.1",
"South Africa","68.0",
"South Sudan","24.3",
"Spain","73.1",
"Sri Lanka","12.3",
"Sudan","9.2",
"Suriname","69.3",
"Swaziland","34.2",
"Sweden","103.0",
"Switzerland","77.4",
"Syrian Arab Republic","26.6",
"Tajikistan","20.2",
"Tanzania","36.0",
"Thailand","32.2",
"The Gambia","36.5",
"The Netherlands","68.9",
"The former Yugoslav Republic of Macedonia","55.7",
"Timor-Leste","15.0",
"Togo","20.4",
"Trinidad and Tobago","68.1",
"Tunisia","26.5",
"Turkey","70.6",
"Turkmenistan","17.3",
"Uganda","34.5",
"Ukraine","41.7",
"United Arab Emirates","15.8",
"United Kingdom","80.7",
"United States of America","78.9",
"Uruguay","59.6",
"Uzbekistan","14.1",
"Vanuatu","25.0",
"Venezuela, Bolivarian Republic of","51.2",
"Viet Nam","39.0",
"Yemen","9.5",
"Zambia","45.6",
"Zimbabwe","43.5",
