Population,Value
"Afghanistan","18.2",
"Albania","19.0",
"Algeria","16.2",
"Angola","26.2",
"Argentina","18.0",
"Armenia","27.2",
"Australia","16.8",
"Austria","21.8",
"Azerbaijan","14.6",
"Bahamas","34.1",
"Bahrain","14.9",
"Bangladesh","13.7",
"Barbados","48.0",
"Belarus","17.2",
"Belgium","27.1",
"Belize","27.6",
"Benin","36.3",
"Bhutan","18.9",
"Bolivia (Plurinational State of)","19.0",
"Bosnia Herzegovina","30.5",
"Botswana","16.9",
"Brazil","13.6",
"Brunei","22.6",
"Bulgaria","25.7",
"Burkina Faso","39.4",
"Burundi","50.3",
"Cabo Verde","30.1",
"Cambodia","21.9",
"Cameroon","22.4",
"Canada","23.5",
"Central African Republic","23.9",
"Chad","23.0",
"Chile","15.8",
"China","30.9",
"Colombia","12.0",
"Comoros","39.8",
"Congo, Democratic Republic of","23.8",
"Congo, Republic of","23.8",
"Costa Rica","12.2",
"Croatia","30.5",
"Cuba","25.8",
"Cyprus","23.7",
"Czech Republic","21.0",
"Côte d'Ivoire","28.9",
"Denmark","27.6",
"Djibouti","21.1",
"Dominican Republic","28.0",
"Ecuador","13.9",
"Egypt","31.8",
"El Salvador","12.8",
"Equatorial Guinea","21.2",
"Eritrea","24.8",
"Estonia","23.7",
"Ethiopia","22.9",
"Fiji","36.9",
"Finland","15.6",
"France","26.3",
"France, Guadeloupe","20.0",
"France, La Réunion","19.9",
"France, Martinique","18.7",
"France, New Caledonia","32.1",
"French Guyana","16.1",
"French Polynesia","36.4",
"Gabon","15.5",
"Gaza Strip and West Bank","21.7",
"Georgia","16.1",
"Germany","23.8",
"Ghana","23.0",
"Greece","31.8",
"Guam","35.7",
"Guatemala","14.5",
"Guinea","39.7",
"Guinea-Bissau","28.3",
"Guyana","17.3",
"Haiti","36.2",
"Honduras","12.5",
"Hungary","44.4",
"Iceland","20.6",
"India","13.4",
"Indonesia","17.0",
"Iran, Islamic Republic of","12.3",
"Iraq","13.6",
"Ireland","22.1",
"Israel","18.2",
"Italy","19.2",
"Jamaica","41.7",
"Japan","16.2",
"Jordan","18.5",
"Kazakhstan","19.4",
"Kenya","22.8",
"Korea, Democratic Republic of","32.4",
"Korea, Republic of","18.1",
"Kuwait","17.6",
"Kyrgyzstan","16.6",
"Lao People's Democratic Republic","22.4",
"Latvia","21.2",
"Lebanon","25.3",
"Lesotho","39.1",
"Liberia","32.1",
"Libya","12.2",
"Lithuania","21.7",
"Luxembourg","20.2",
"Madagascar","37.4",
"Malawi","54.5",
"Malaysia","18.4",
"Maldives","16.6",
"Mali","36.2",
"Malta","17.6",
"Mauritania","24.8",
"Mauritius","21.8",
"Mexico","10.0",
"Mongolia","75.4",
"Montenegro","31.1",
"Morocco","17.6",
"Mozambique","35.7",
"Myanmar","14.9",
"Namibia","19.4",
"Nepal","15.0",
"New Zealand","18.1",
"Nicaragua","14.2",
"Niger","17.1",
"Nigeria","20.0",
"Norway","20.3",
"Oman","11.0",
"Pakistan","23.2",
"Panama","15.4",
"Papua New Guinea","25.2",
"Paraguay","16.8",
"Peru","15.6",
"Philippines","19.2",
"Poland","33.2",
"Portugal","19.0",
"Puerto Rico","12.9",
"Qatar","13.9",
"Republic of Moldova","21.2",
"Romania","26.3",
"Russian Federation","21.0",
"Rwanda","24.1",
"Saint Lucia","34.5",
"Samoa","24.3",
"Sao Tome and Principe","15.0",
"Saudi Arabia","7.5",
"Senegal","29.1",
"Serbia","39.9",
"Sierra Leone","25.4",
"Singapore","26.1",
"Slovakia","22.5",
"Slovenia","27.0",
"Solomon Islands","16.0",
"Somalia","29.1",
"South Africa","27.9",
"South Sudan","22.9",
"Spain","21.2",
"Sri Lanka","8.1",
"Sudan","21.4",
"Suriname","28.3",
"Swaziland","52.5",
"Sweden","15.0",
"Switzerland","17.2",
"Syrian Arab Republic","26.9",
"Tajikistan","14.4",
"Tanzania","42.7",
"Thailand","20.9",
"The Gambia","26.2",
"The Netherlands","26.5",
"The former Yugoslav Republic of Macedonia","27.1",
"Timor-Leste","10.7",
"Togo","18.7",
"Trinidad and Tobago","34.2",
"Tunisia","13.3",
"Turkey","35.9",
"Turkmenistan","14.5",
"Uganda","40.5",
"Ukraine","18.5",
"United Arab Emirates","16.9",
"United Kingdom","22.2",
"United States of America","22.1",
"Uruguay","24.8",
"Uzbekistan","11.8",
"Vanuatu","13.1",
"Venezuela, Bolivarian Republic of","23.3",
"Viet Nam","23.2",
"Yemen","12.7",
"Zambia","44.5",
"Zimbabwe","46.0",
