Population,Value
"Afghanistan","18.2",
"Albania","11.1",
"Algeria","16.2",
"Angola","26.2",
"Argentina","18.0",
"Armenia","20.6",
"Australia","13.6",
"Austria","16.6",
"Azerbaijan","14.6",
"Bahamas","27.9",
"Bahrain","14.9",
"Bangladesh","9.3",
"Barbados","33.1",
"Belarus","12.9",
"Belgium","18.5",
"Belize","16.2",
"Benin","21.0",
"Bhutan","13.4",
"Bolivia (Plurinational State of)","19.0",
"Bosnia Herzegovina","14.6",
"Botswana","16.9",
"Brazil","13.0",
"Brunei","19.5",
"Bulgaria","16.4",
"Burkina Faso","39.4",
"Burundi","50.3",
"Cabo Verde","11.1",
"Cambodia","12.7",
"Cameroon","21.9",
"Canada","22.1",
"Central African Republic","23.9",
"Chad","23.0",
"Chile","11.1",
"China","19.0",
"Colombia","11.9",
"Comoros","39.8",
"Congo, Democratic Republic of","21.1",
"Congo, Republic of","12.1",
"Costa Rica","12.2",
"Croatia","18.2",
"Cuba","18.8",
"Cyprus","16.9",
"Czech Republic","13.4",
"Côte d'Ivoire","24.1",
"Denmark","25.6",
"Djibouti","21.1",
"Dominican Republic","26.1",
"Ecuador","9.2",
"Egypt","21.3",
"El Salvador","10.9",
"Equatorial Guinea","21.2",
"Eritrea","24.8",
"Estonia","14.1",
"Ethiopia","22.9",
"Fiji","36.9",
"Finland","11.3",
"France","15.4",
"France, Guadeloupe","14.9",
"France, La Réunion","13.0",
"France, Martinique","17.2",
"France, New Caledonia","18.3",
"French Guyana","13.0",
"French Polynesia","22.8",
"Gabon","13.4",
"Gaza Strip and West Bank","21.7",
"Georgia","15.9",
"Germany","17.0",
"Ghana","23.0",
"Greece","13.5",
"Guam","22.2",
"Guatemala","13.8",
"Guinea","39.7",
"Guinea-Bissau","28.3",
"Guyana","17.3",
"Haiti","14.5",
"Honduras","12.5",
"Hungary","30.9",
"Iceland","21.3",
"India","13.4",
"Indonesia","17.0",
"Iran, Islamic Republic of","8.7",
"Iraq","13.6",
"Ireland","19.4",
"Israel","16.6",
"Italy","13.8",
"Jamaica","23.2",
"Japan","9.3",
"Jordan","18.5",
"Kazakhstan","14.8",
"Kenya","22.8",
"Korea, Democratic Republic of","24.0",
"Korea, Republic of","8.2",
"Kuwait","17.6",
"Kyrgyzstan","10.9",
"Lao People's Democratic Republic","16.2",
"Latvia","17.7",
"Lebanon","25.3",
"Lesotho","39.1",
"Liberia","32.1",
"Libya","7.6",
"Lithuania","16.0",
"Luxembourg","15.8",
"Madagascar","37.4",
"Malawi","54.5",
"Malaysia","18.4",
"Maldives","16.6",
"Mali","36.2",
"Malta","12.7",
"Mauritania","24.8",
"Mauritius","21.8",
"Mexico","9.9",
"Mongolia","56.8",
"Montenegro","22.6",
"Morocco","17.6",
"Mozambique","35.7",
"Myanmar","13.1",
"Namibia","14.7",
"Nepal","15.7",
"New Zealand","17.8",
"Nicaragua","13.3",
"Niger","17.1",
"Nigeria","20.0",
"Norway","18.6",
"Oman","11.0",
"Pakistan","23.2",
"Panama","11.2",
"Papua New Guinea","25.2",
"Paraguay","16.8",
"Peru","11.3",
"Philippines","17.5",
"Poland","21.2",
"Portugal","11.3",
"Puerto Rico","12.9",
"Qatar","13.9",
"Republic of Moldova","19.7",
"Romania","14.6",
"Russian Federation","15.1",
"Rwanda","24.1",
"Saint Lucia","20.6",
"Samoa","24.3",
"Sao Tome and Principe","12.4",
"Saudi Arabia","7.5",
"Senegal","29.1",
"Serbia","21.9",
"Sierra Leone","25.4",
"Singapore","18.5",
"Slovakia","16.5",
"Slovenia","18.0",
"Solomon Islands","16.0",
"Somalia","29.1",
"South Africa","19.2",
"South Sudan","22.9",
"Spain","10.6",
"Sri Lanka","8.1",
"Sudan","21.4",
"Suriname","15.8",
"Swaziland","52.5",
"Sweden","14.8",
"Switzerland","13.7",
"Syrian Arab Republic","26.9",
"Tajikistan","10.5",
"Tanzania","42.7",
"Thailand","11.9",
"The Gambia","23.1",
"The Netherlands","24.5",
"The former Yugoslav Republic of Macedonia","17.2",
"Timor-Leste","8.5",
"Togo","18.7",
"Trinidad and Tobago","25.1",
"Tunisia","10.3",
"Turkey","10.5",
"Turkmenistan","14.5",
"Uganda","40.5",
"Ukraine","16.7",
"United Arab Emirates","16.9",
"United Kingdom","19.7",
"United States of America","19.0",
"Uruguay","20.7",
"Uzbekistan","11.8",
"Vanuatu","12.5",
"Venezuela, Bolivarian Republic of","16.9",
"Viet Nam","10.5",
"Yemen","12.7",
"Zambia","44.5",
"Zimbabwe","46.0",
