Population,Value
"Afghanistan","11.4",
"Albania","33.1",
"Algeria","17.3",
"Angola","25.2",
"Argentina","24.7",
"Armenia","54.5",
"Australia","20.3",
"Austria","28.1",
"Azerbaijan","24.0",
"Bahamas","34.1",
"Bahrain","15.2",
"Bangladesh","18.0",
"Barbados","48.0",
"Belarus","38.3",
"Belgium","37.6",
"Belize","27.6",
"Benin","36.3",
"Bhutan","23.4",
"Bolivia (Plurinational State of)","9.9",
"Bosnia Herzegovina","53.8",
"Botswana","11.8",
"Brazil","15.4",
"Brunei","26.3",
"Bulgaria","44.0",
"Burkina Faso","20.6",
"Burundi","23.4",
"Cabo Verde","30.1",
"Cambodia","34.7",
"Cameroon","22.4",
"Canada","25.4",
"Central African Republic","21.3",
"Chad","13.5",
"Chile","17.9",
"China","43.4",
"Colombia","13.2",
"Comoros","19.5",
"Congo, Democratic Republic of","23.8",
"Congo, Republic of","23.8",
"Costa Rica","13.9",
"Croatia","50.1",
"Cuba","33.6",
"Cyprus","42.2",
"Czech Republic","30.8",
"Côte d'Ivoire","28.9",
"Denmark","30.3",
"Djibouti","6.2",
"Dominican Republic","28.0",
"Ecuador","13.9",
"Egypt","48.4",
"El Salvador","12.8",
"Equatorial Guinea","19.4",
"Eritrea","6.8",
"Estonia","45.1",
"Ethiopia","6.3",
"Fiji","12.8",
"Finland","20.8",
"France","38.9",
"France, Guadeloupe","20.0",
"France, La Réunion","35.9",
"France, Martinique","18.7",
"France, New Caledonia","47.7",
"French Guyana","19.2",
"French Polynesia","49.6",
"Gabon","15.5",
"Gaza Strip and West Bank","25.5",
"Georgia","33.4",
"Germany","31.8",
"Ghana","24.3",
"Greece","54.6",
"Guam","51.5",
"Guatemala","15.4",
"Guinea","28.2",
"Guinea-Bissau","17.5",
"Guyana","15.4",
"Haiti","36.2",
"Honduras","11.6",
"Hungary","62.9",
"Iceland","20.2",
"India","7.7",
"Indonesia","17.4",
"Iran, Islamic Republic of","15.9",
"Iraq","17.0",
"Ireland","25.3",
"Israel","26.7",
"Italy","28.7",
"Jamaica","41.7",
"Japan","26.5",
"Jordan","29.3",
"Kazakhstan","39.5",
"Kenya","21.6",
"Korea, Democratic Republic of","44.3",
"Korea, Republic of","31.4",
"Kuwait","8.0",
"Kyrgyzstan","26.6",
"Lao People's Democratic Republic","33.4",
"Latvia","41.2",
"Lebanon","28.9",
"Lesotho","17.7",
"Liberia","29.0",
"Libya","23.0",
"Lithuania","45.1",
"Luxembourg","28.4",
"Madagascar","18.6",
"Malawi","23.1",
"Malaysia","19.9",
"Maldives","16.6",
"Mali","12.2",
"Malta","29.6",
"Mauritania","16.9",
"Mauritius","15.7",
"Mexico","10.0",
"Mongolia","98.4",
"Montenegro","51.9",
"Morocco","32.1",
"Mozambique","18.3",
"Myanmar","19.3",
"Namibia","19.4",
"Nepal","14.1",
"New Zealand","18.5",
"Nicaragua","14.2",
"Niger","11.5",
"Nigeria","16.3",
"Norway","22.3",
"Oman","9.7",
"Pakistan","11.0",
"Panama","15.4",
"Papua New Guinea","15.7",
"Paraguay","18.5",
"Peru","15.6",
"Philippines","30.7",
"Poland","49.5",
"Portugal","33.5",
"Puerto Rico","13.4",
"Qatar","9.9",
"Republic of Moldova","40.2",
"Romania","45.7",
"Russian Federation","44.3",
"Rwanda","19.0",
"Saint Lucia","34.5",
"Samoa","28.6",
"Sao Tome and Principe","18.2",
"Saudi Arabia","7.3",
"Senegal","21.6",
"Serbia","61.1",
"Sierra Leone","20.0",
"Singapore","38.2",
"Slovakia","38.2",
"Slovenia","37.7",
"Solomon Islands","20.7",
"Somalia","9.7",
"South Africa","27.9",
"South Sudan","16.2",
"Spain","34.4",
"Sri Lanka","6.8",
"Sudan","7.2",
"Suriname","28.3",
"Swaziland","22.9",
"Sweden","15.0",
"Switzerland","21.5",
"Syrian Arab Republic","26.2",
"Tajikistan","18.9",
"Tanzania","22.0",
"Thailand","32.3",
"The Gambia","41.1",
"The Netherlands","29.7",
"The former Yugoslav Republic of Macedonia","45.8",
"Timor-Leste","14.5",
"Togo","13.1",
"Trinidad and Tobago","34.2",
"Tunisia","25.5",
"Turkey","68.6",
"Turkmenistan","14.4",
"Uganda","19.7",
"Ukraine","38.5",
"United Arab Emirates","7.7",
"United Kingdom","25.2",
"United States of America","25.9",
"Uruguay","42.0",
"Uzbekistan","11.6",
"Vanuatu","20.2",
"Venezuela, Bolivarian Republic of","23.3",
"Viet Nam","39.1",
"Yemen","8.5",
"Zambia","28.4",
"Zimbabwe","29.7",
